2023-11-18 15:17:15 - RAM: 34.4% used, Swap: 1.7% used
2023-11-18 15:17:17 - RAM: 34.2% used, Swap: 1.7% used
2023-11-18 15:17:19 - RAM: 35.3% used, Swap: 1.7% used
2023-11-18 15:17:21 - RAM: 25.2% used, Swap: 1.7% used
2023-11-18 15:17:23 - RAM: 25.4% used, Swap: 1.7% used
2023-11-18 15:17:25 - RAM: 25.6% used, Swap: 1.7% used
2023-11-18 15:17:27 - RAM: 25.3% used, Swap: 1.7% used
2023-11-18 15:17:29 - RAM: 26.2% used, Swap: 1.7% used
2023-11-18 15:17:31 - RAM: 26.6% used, Swap: 1.7% used
2023-11-18 15:17:33 - RAM: 36.5% used, Swap: 1.7% used
2023-11-18 15:17:35 - RAM: 46.4% used, Swap: 1.7% used
2023-11-18 15:17:37 - RAM: 45.1% used, Swap: 1.7% used
2023-11-18 15:17:39 - RAM: 60.1% used, Swap: 1.7% used
2023-11-18 15:17:41 - RAM: 62.6% used, Swap: 1.7% used
2023-11-18 15:17:43 - RAM: 69.2% used, Swap: 1.7% used
2023-11-18 15:17:45 - RAM: 61.8% used, Swap: 1.7% used
2023-11-18 15:17:47 - RAM: 63.3% used, Swap: 1.7% used
2023-11-18 15:17:49 - RAM: 54.0% used, Swap: 1.7% used
2023-11-18 15:17:51 - RAM: 54.1% used, Swap: 1.7% used
2023-11-18 15:17:53 - RAM: 36.7% used, Swap: 1.7% used
2023-11-18 15:17:55 - RAM: 26.8% used, Swap: 1.7% used
2023-11-18 15:17:57 - RAM: 27.0% used, Swap: 1.7% used
2023-11-18 15:17:59 - RAM: 27.3% used, Swap: 1.7% used
2023-11-18 15:18:01 - RAM: 33.8% used, Swap: 1.7% used
2023-11-18 15:18:03 - RAM: 36.5% used, Swap: 1.7% used
2023-11-18 15:18:05 - RAM: 38.8% used, Swap: 1.7% used
2023-11-18 15:18:07 - RAM: 46.2% used, Swap: 1.7% used
2023-11-18 15:18:09 - RAM: 46.9% used, Swap: 1.7% used
2023-11-18 15:18:11 - RAM: 36.6% used, Swap: 1.7% used
2023-11-18 15:18:13 - RAM: 37.9% used, Swap: 1.7% used
2023-11-18 15:18:15 - RAM: 48.5% used, Swap: 1.7% used
2023-11-18 15:18:17 - RAM: 40.3% used, Swap: 1.7% used
2023-11-18 15:18:19 - RAM: 42.7% used, Swap: 1.7% used
2023-11-18 15:18:21 - RAM: 43.2% used, Swap: 1.7% used
2023-11-18 15:18:23 - RAM: 43.0% used, Swap: 1.7% used
2023-11-18 15:18:25 - RAM: 50.7% used, Swap: 1.7% used
2023-11-18 15:18:27 - RAM: 55.5% used, Swap: 1.7% used
2023-11-18 15:18:29 - RAM: 56.2% used, Swap: 1.7% used
2023-11-18 15:18:31 - RAM: 56.9% used, Swap: 1.7% used
2023-11-18 15:18:33 - RAM: 38.3% used, Swap: 1.7% used
2023-11-18 15:18:35 - RAM: 38.7% used, Swap: 1.7% used
2023-11-18 15:18:37 - RAM: 38.2% used, Swap: 1.7% used
2023-11-18 15:18:39 - RAM: 25.5% used, Swap: 1.7% used
2023-11-18 15:18:41 - RAM: 26.0% used, Swap: 1.7% used
2023-11-18 15:18:43 - RAM: 25.7% used, Swap: 1.7% used
2023-11-18 15:18:45 - RAM: 25.2% used, Swap: 1.7% used
2023-11-18 15:18:47 - RAM: 26.0% used, Swap: 1.7% used
2023-11-18 15:18:49 - RAM: 32.8% used, Swap: 1.7% used
2023-11-18 15:18:51 - RAM: 32.1% used, Swap: 1.7% used
2023-11-18 15:18:53 - RAM: 43.7% used, Swap: 1.7% used
2023-11-18 15:18:55 - RAM: 46.5% used, Swap: 1.7% used
2023-11-18 15:18:57 - RAM: 49.6% used, Swap: 1.7% used
2023-11-18 15:18:59 - RAM: 50.5% used, Swap: 1.7% used
2023-11-18 15:19:01 - RAM: 50.3% used, Swap: 1.7% used
2023-11-18 15:19:03 - RAM: 53.3% used, Swap: 1.7% used
2023-11-18 15:19:05 - RAM: 56.3% used, Swap: 1.7% used
2023-11-18 15:19:07 - RAM: 42.9% used, Swap: 1.7% used
2023-11-18 15:19:09 - RAM: 43.2% used, Swap: 1.7% used
2023-11-18 15:19:11 - RAM: 43.8% used, Swap: 1.7% used
2023-11-18 15:19:13 - RAM: 44.5% used, Swap: 1.7% used
2023-11-18 15:19:15 - RAM: 50.7% used, Swap: 1.7% used
2023-11-18 15:19:17 - RAM: 53.7% used, Swap: 1.7% used
2023-11-18 15:19:19 - RAM: 37.2% used, Swap: 1.7% used
2023-11-18 15:19:21 - RAM: 38.1% used, Swap: 1.7% used
2023-11-18 15:19:23 - RAM: 38.9% used, Swap: 1.7% used
2023-11-18 15:19:25 - RAM: 39.4% used, Swap: 1.7% used
2023-11-18 15:19:27 - RAM: 27.9% used, Swap: 1.7% used
2023-11-18 15:19:29 - RAM: 27.9% used, Swap: 1.7% used
2023-11-18 15:19:31 - RAM: 28.2% used, Swap: 1.7% used
2023-11-18 15:19:33 - RAM: 27.7% used, Swap: 1.7% used
2023-11-18 15:19:35 - RAM: 36.3% used, Swap: 1.7% used
2023-11-18 15:19:37 - RAM: 47.2% used, Swap: 1.7% used
2023-11-18 15:19:39 - RAM: 53.4% used, Swap: 1.7% used
2023-11-18 15:19:41 - RAM: 55.2% used, Swap: 1.7% used
2023-11-18 15:19:43 - RAM: 56.6% used, Swap: 1.7% used
2023-11-18 15:19:45 - RAM: 57.6% used, Swap: 1.7% used
2023-11-18 15:19:47 - RAM: 58.4% used, Swap: 1.7% used
2023-11-18 15:19:49 - RAM: 59.3% used, Swap: 1.7% used
2023-11-18 15:19:51 - RAM: 46.8% used, Swap: 1.7% used
2023-11-18 15:19:53 - RAM: 53.8% used, Swap: 1.7% used
2023-11-18 15:19:55 - RAM: 54.9% used, Swap: 1.7% used
2023-11-18 15:19:57 - RAM: 36.7% used, Swap: 1.7% used
