2023-11-14 14:41:20 - RAM: 19.7% used, Swap: 0.7% used
2023-11-14 14:41:30 - RAM: 19.7% used, Swap: 0.7% used
2023-11-14 14:41:40 - RAM: 19.7% used, Swap: 0.7% used
2023-11-14 14:41:50 - RAM: 19.7% used, Swap: 0.7% used
2023-11-14 14:49:35 - RAM: 12.1% used, Swap: 0.7% used
2023-11-14 14:49:45 - RAM: 12.1% used, Swap: 0.7% used
2023-11-14 14:49:55 - RAM: 12.1% used, Swap: 0.7% used
2023-11-14 14:50:03 - RAM: 12.1% used, Swap: 0.7% used
2023-11-14 14:50:13 - RAM: 17.1% used, Swap: 0.7% used
2023-11-14 14:50:23 - RAM: 19.1% used, Swap: 0.7% used
2023-11-14 14:50:33 - RAM: 20.2% used, Swap: 0.7% used
2023-11-14 14:50:43 - RAM: 21.8% used, Swap: 0.7% used
2023-11-14 14:50:53 - RAM: 46.6% used, Swap: 0.7% used
2023-11-14 14:51:03 - RAM: 54.7% used, Swap: 0.7% used
2023-11-14 14:51:13 - RAM: 37.2% used, Swap: 0.7% used
2023-11-14 14:51:23 - RAM: 28.1% used, Swap: 0.7% used
2023-11-14 14:51:33 - RAM: 51.4% used, Swap: 0.7% used
2023-11-14 14:51:43 - RAM: 21.1% used, Swap: 0.7% used
2023-11-14 14:51:53 - RAM: 21.1% used, Swap: 0.7% used
2023-11-14 14:52:03 - RAM: 46.7% used, Swap: 0.7% used
2023-11-14 14:52:13 - RAM: 62.0% used, Swap: 0.7% used
2023-11-14 14:52:23 - RAM: 21.1% used, Swap: 0.7% used
2023-11-14 14:52:33 - RAM: 44.5% used, Swap: 0.7% used
2023-11-14 14:52:43 - RAM: 21.5% used, Swap: 0.7% used
2023-11-14 14:52:53 - RAM: 21.5% used, Swap: 0.7% used
2023-11-14 14:53:03 - RAM: 21.5% used, Swap: 0.7% used
2023-11-14 14:53:13 - RAM: 21.5% used, Swap: 0.7% used
2023-11-14 14:53:23 - RAM: 21.5% used, Swap: 0.7% used
2023-11-14 14:53:33 - RAM: 21.5% used, Swap: 0.7% used
2023-11-14 14:53:43 - RAM: 31.2% used, Swap: 0.7% used
2023-11-14 14:53:53 - RAM: 65.4% used, Swap: 0.7% used
2023-11-14 14:54:03 - RAM: 68.4% used, Swap: 0.7% used
2023-11-14 14:54:13 - RAM: 80.3% used, Swap: 0.7% used
2023-11-14 14:54:23 - RAM: 81.7% used, Swap: 0.7% used
2023-11-14 14:54:33 - RAM: 83.5% used, Swap: 0.7% used
2023-11-14 14:54:43 - RAM: 86.0% used, Swap: 0.7% used
2023-11-14 14:54:53 - RAM: 87.5% used, Swap: 0.7% used
2023-11-14 14:55:03 - RAM: 89.1% used, Swap: 0.7% used
2023-11-14 14:55:13 - RAM: 30.1% used, Swap: 1.5% used
2023-11-14 14:55:23 - RAM: 58.6% used, Swap: 1.5% used
2023-11-14 14:55:33 - RAM: 66.3% used, Swap: 1.5% used
2023-11-14 14:55:43 - RAM: 75.6% used, Swap: 1.5% used
